epoch	iter	acc	loss	lr	minGrad	maxGrad	meanGrad	stdGrad	
   1.000000	   1.000000	   0.000000	   0.295823	   0.000250	  -0.122340	   0.186972	  -0.000000	   0.001123	
   1.000000	   2.000000	   0.050000	   0.249760	   0.000250	  -0.059311	   0.052627	   0.000004	   0.000348	
   1.000000	   3.000000	   0.050000	   0.151900	   0.000250	  -0.019739	   0.038532	   0.000000	   0.000193	
   1.000000	   4.000000	   0.050000	   0.107607	   0.000250	  -0.020674	   0.019208	  -0.000001	   0.000141	
   1.000000	   5.000000	   0.000000	   0.072793	   0.000250	  -0.012691	   0.009827	  -0.000000	   0.000091	
   1.000000	   6.000000	   0.000000	   0.061153	   0.000250	  -0.008378	   0.010943	  -0.000000	   0.000074	
   1.000000	   7.000000	   0.200000	   0.048208	   0.000250	  -0.006203	   0.008202	  -0.000000	   0.000059	
   1.000000	   8.000000	   0.000000	   0.035936	   0.000250	  -0.005582	   0.007623	  -0.000000	   0.000045	
   1.000000	   9.000000	   0.050000	   0.036318	   0.000250	  -0.005453	   0.006994	  -0.000000	   0.000040	
   1.000000	  10.000000	   0.000000	   0.033009	   0.000250	  -0.004903	   0.005024	  -0.000000	   0.000031	
   1.000000	  11.000000	   0.000000	   0.032363	   0.000250	  -0.005263	   0.005325	  -0.000000	   0.000032	
   1.000000	  12.000000	   0.000000	   0.025247	   0.000250	  -0.004537	   0.004666	  -0.000000	   0.000027	
   1.000000	  13.000000	   0.100000	   0.021341	   0.000250	  -0.003054	   0.004920	  -0.000000	   0.000023	
   1.000000	  14.000000	   0.000000	   0.025249	   0.000250	  -0.003007	   0.004606	  -0.000000	   0.000022	
   1.000000	  15.000000	   0.000000	   0.020502	   0.000250	  -0.002481	   0.003677	  -0.000000	   0.000022	
   1.000000	  16.000000	   0.000000	   0.026831	   0.000250	  -0.003577	   0.002465	  -0.000000	   0.000021	
   1.000000	  17.000000	   0.000000	   0.022065	   0.000250	  -0.002317	   0.002568	  -0.000000	   0.000018	
   1.000000	  18.000000	   0.000000	   0.019677	   0.000250	  -0.002814	   0.002587	  -0.000000	   0.000017	
   1.000000	  19.000000	   0.000000	   0.016108	   0.000250	  -0.002029	   0.001959	  -0.000000	   0.000014	
   1.000000	  20.000000	   0.000000	   0.016804	   0.000250	  -0.002374	   0.002139	  -0.000000	   0.000015	
   1.000000	  21.000000	   0.000000	   0.019850	   0.000250	  -0.001922	   0.003593	   0.000000	   0.000016	
   1.000000	  22.000000	   0.050000	   0.016101	   0.000250	  -0.003863	   0.003983	  -0.000000	   0.000021	
   1.000000	  23.000000	   0.000000	   0.016399	   0.000250	  -0.001866	   0.002356	   0.000000	   0.000015	
   1.000000	  24.000000	   0.000000	   0.015639	   0.000250	  -0.002195	   0.002042	  -0.000000	   0.000014	
   1.000000	  25.000000	   0.000000	   0.014812	   0.000250	  -0.002049	   0.002338	  -0.000000	   0.000014	
   1.000000	  26.000000	   0.000000	   0.015584	   0.000250	  -0.002217	   0.001732	  -0.000000	   0.000012	
   1.000000	  27.000000	   0.050000	   0.018200	   0.000250	  -0.001576	   0.002313	  -0.000000	   0.000013	
   1.000000	  28.000000	   0.000000	   0.020137	   0.000250	  -0.003236	   0.002663	  -0.000000	   0.000012	
   1.000000	  29.000000	   0.000000	   0.016717	   0.000250	  -0.001501	   0.000973	  -0.000000	   0.000009	
   1.000000	  30.000000	   0.000000	   0.015056	   0.000250	  -0.001695	   0.001085	  -0.000000	   0.000009	
   1.000000	  31.000000	   0.000000	   0.011566	   0.000250	  -0.001609	   0.002298	   0.000000	   0.000010	
